address,company_logo,company_name,company_url,email_address,key_clients,lawyers,phone_number,practice_heads,website
Stephenson Harwood    48 rue Cambon        75001 Paris                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/3164.jpg?v=1580315505, Stephenson Harwood ,,info@shlegal.com,"BNP Paribas;Jifmar Offshore Services;Sunstone Ships;La Banque Postale;Corsica Ferries;Compagnie Fluviale de Transport (CFT);Compagnie du Ponant;Fimar;Compagnie des Pêches Saint Malo;CIC;CEPAC;CELR;Ingépar;Air Côte d’Ivoire (ACI);Lion Air Group;Merlin Aviation Holdings DAC;Airasia;Avico Group;Castelake;Avolon (formerly CIT);Aergo;XL Airways France;CIC (Crédit Industriel et Commercial);BNP Paribas;CIC;DVB Bank;BPCE Group;Natixis;Ingépar;CA-CIB;CIT Group Inc.;Air Côte d’Ivoire;Ponant;Acofi;Euler Hermès;Arkéa;Allied Irish Bank (AIB);ICBC;Exxon Mobil;Kellog Brown Root;Suez;Société Générale;SNC Lavalin;EDEIS;SG Kleinwort Hambros bank (CI) Limited;Baltic International Bank;Wells Fargo Bank Northwest Trustee;Jinwang Europe and Hunan Jinwang Bismuth Industrial Co.;Banque Européenne d’Investissement (BEI);Eurazéo;Léon de Bruxelles;SAS Degrémont France;Aviagen;SITRU;SUEZ;Société Générale;Société Générale Bank & Trust;EDEIS (ex SNC Lavalin);Daewoo Shipbuilding & Marine Engineering Co., Ltd (DSME);Joseph Dirand Architecture;Mercuria Energy Group;Heerema Marine Contractors Nederland SE;Navigators Underwriting Limited;RSA Group;Indigo Capital;Mirova;FFP Invest;Malakoff Médéric;Siaci Saint-Honoré;GDE Groupe Ecore;AD Education;Zoku International BV;Pradera;Archer Hotel Capital;Primonial REIM;Groupe Galeries Lafayette / Citynove;Icade", Yann Beckers ; Guillaume Briant ; Edward Campbell; Olivier Couraud ; Barthélemy Cousin ; Nicolas Demigneux ; Alain Gautron; Jeremy Grant ; Tiana Rambatomanga; Pierre-Nicolas Sanzey , 33 1 44 15 80 00,Alain Gautron;Edward Campbell;Alain Gautron;Edward Campbell;Yann Beckers;Barthélemy Cousin;Nicolas Demigneux;Tiana Rambatomanga;Patrick Mousset;Yann Beckers;Pierre-Nicolas Sanzey;Stéphane Salou,http://www.shlegal.com
"Stehlin &amp; Associés    48, AVENUE VICTOR HUGO        75116 PARIS                France",https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/15472.jpg?v=1583925735, Stehlin & Associés ,,mail@stehlin-legal.com,Safran;Groupe Barrière;Groupe Tetra Media Studios (ITV Group);Eight Advisory;Etanco;Proxiserve;Stanhope;Artal/Invus;Equistone;Warwick;Crédit Mutuel Arkéa;Amphenol;Daniel Féau Immobilier;Econocom;Grenier à Pain;Trigo;Dickson;Décathlon;Crédit Mutuel Arkéa;Amphenol;Groupe Mimran;Artal / Invus;Warwick International;Daniel Féau Immobilier;William Grant & Sons;Dickson;Fauchon;CIM Belgium;Econocom;Corilus Belgium;HM Editions;Amiral Holding;Grenier à Pain;Accuracy;Arkéa Capita;3i;CMA – CGM;Bold Rock Management & Investments Ltd;Lucien Barrière;Hermès International;Petit Navire;Agatha;Heinz;Fauchon;Monaco Marine;Mairie de la Garenne Colombes;Barilla;Euro Ressources;Diagast;Dexxon;Inter Invest;Relais et Châteaux;Lectra;Breitling;William Grant;Children Worldwide Fashion;Consort;Ariston;Microstrategy;History Group;MB 92;Mairie le Pecq;Thierry 21;Fondation de France;Hotel Castille;Eleven Paris;DSI;Tech Mahindra;Sendra (Fuxia);Smart Wood;Comvivia;Surys;Sporoptic Pouilloux;1.2.3. Venture;Jacquemus;Christophe Lemaire;Thai Union Group;Crédit Mutuel Arkéa;Le Bristol;Fime;Biolog;Expléo;Alberta Ferreti;Moschino;Pinko;Engie;CCI France;Sivu Co Cli Co;Vicomte;TBES;Trigo;Azzaro;Véronique Leroy;Ingie Paris;Alexandre Vauthier;Oddo BHF;Chantier Naval de Marseille;Marc le Bihan;MSDental,, 33 1 44 17 07 70,Anna-Christina Chaves;Marc Pierre Stehlin;Armelle Maitre;Svetlana Tokoucheva;Cyrille Boillot;Vincent Renoux;Catherine de Manneville,http://www.stehlin-legal.com
"Taj    6, place de la Pyramide        92908, Paris – La Défense                France",https://www.legal500.com/wp-content/uploads/assets/client/office_logo/13229.jpg?v=1586354068, Taj ,,erevillion@deloitte.fr,,, 33 1 40 88 22 50,Sophie Blégent-Delapille,https://www.taj.fr
Solferino Associés    262 BOULEVARD SAINT GERMAIN        75007 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/16700.jpg?v=1580315478, Solferino Associés ,,info@solferinoassocies.com,,, 33 1 40 62 72 72,,https://www.solferinoassocies.com
Viguié Schmidt &amp; Associés    146 BOULEVARD HAUSSMANN        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/10680.jpg?v=1580315450, Viguié Schmidt & Associés ,,contact@vs-a.fr,Fimalac;Sanofi Pasteur;Imerys;HIPay Group;BIM;AXA;Orco Property Group;Edilians;BMI Group;Sony Music Entertainment France;JOHNSON & JOHNSON;LFB Group;ENDYMED;Vacances Héliades;Mirova/Natixis;Faurecia / Parrot;Bandai Namco;Johnson & Johnson Santé Beauté France;Domino’s Pizza France;Vinci Construction;Vinci Energies;Groupe M6;Aufeminin;M6;Imerys;Mediawan;PSA/Peugeot Citroën;Saint-Gobain;HiPay Group;Crédit Agricole / CASA;SNCF / Geodis;Amaury Group;XL Airways / La Compagnie;Aviva France;UFF Banque;La Française;LFB Group;Amaury Group;SNCF/Geodis;Calcium Capital;aufeminin.com;Sony Music Entertainment;XL Airways / La Compagnie;Alter Equity;Crédit Agricole/CASA;Laborizon;Hipay Group;Mediawan;Fimalac Entertainment;LPCR Groupe;Groupe La Française,, 33 1 44 70 10 70,Yves Schmidt;Olivier Loizon;Etienne Gouesse;Iñaki Saint-Esteben;Nicolas Viguié;Yves Schmidt;Iñaki Saint-Esteben;Virginie Viallard ;Fabrice Veverka;Christel Alberti,http://www.vs-a.fr
"Squire Patton Boggs    7, RUE DU GENERAL FOY        75008 PARIS                France",https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/50946.jpg?v=1580315526, Squire Patton Boggs ,,info@squirepb.com,HDI GLOBAL;XL London Market;Air New Zealand;Lufthansa German Airlines;Swiss International Air Lines Ltd.;Austrian Airlines;Eurowings;Germanwings;HDI;TAKEDA FRANCE,, 33 1 53 83 74 00,Carole Sportes;Valérie Ravit;Carole Sportes;Carole Sportes;Valérie Ravit;Pauline Pierce;Jean-François Rage,https://www.squirepattonboggs.com
Simmons &amp; Simmons    5 BOULEVARD DE LA MADELEINE        75001 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/3058.jpg?v=1580315503, Simmons & Simmons ,,enquiries@simmons-simmons.com,Alpha Healthgroup;Cooper;CDPQ;Merck;Servier;Roche France;Pharma-gdd;Ultimate Software Group Inc;UBS Limited London and France;Société Générale;Crédit du Nord;Natixis – BPCE;Deutsche Bank AG;OFI Asset Management;Orange Bank (ex Groupama Banque);Elliott Management Corporation;Airbus (ex EADS);Air-France;Covéa including Covéa Finance;First Quantum Minerals;African Legal Support Facility (ALSF);Djibouti Ports & Free Zone Authority;De Run International;Proparco;DEG;TBEA Co. Ltd.;Kaminex Limited;Air Djibouti;EY;RCF Management;Malakoff;J.C. Bamford Excavators;Bell Helicopter Textron;Gemalto (Thales);Bayer Healthcare;Alkermes;Sigos;Wright Medical;Neo Medical;Merck KGaA;Genethon;Château Lafite Rothschild;Domaine Romanée-Conti;Ultimate Software Group Inc;Metro-Goldwyn-Mayer;BNP Paribas;Capza;Edmond de Rothschild;Eurazeo SME;InfraVia Capital Partners;Meridiam;RGreen Invest;Serena Capital;Siparex;Weinberg Capital Partners;Crédit Lyonnais;Crédit Industriel et Commercial;Société Générale;Banque Palatine;Bpifrance Investissement;EMZ Partners;CM-CIC Private Debt;Spie batignolles;Valor Real Estate Partners;Savills Investment Management;Caisse d’Epargne et de Prévoyance Hauts de France;DWS;Caisse de dépôt et placement du Québec;Roche France;Merck KGaA;JC BAMFORD EXCAVATORS;GlaxoSmithKline (GSK);Servier;Moneta Asset Management;Sodexo Pass International;Natixis / BPCE;Bayer;MSD;Stanley Black & Decker;Alpha Healthgroup;Tapì;Moody’s;BlackRock;SEDCO Capital;Cooper;Savills Investment Management;Valor Real Estate Partners LLP;Luigi Lavazza S.p.A.;CDPQ;Future Plc;Ultimate Software Group;Inteva Products;African Legal Support Facility (ALSF);Djibouti Ports & Free Zone Authority;De Run International;NordGold;KfW;Malakoff;Proparco and DEG;TBEA Co. Ltd.;Great Horn Investment Holdings SAS;Valor Real Estate Partners LLP;M7 Real Estate;Quaero Capital;RGreen Invest;TechLife Capital;Entrepreneur Venture;Premier Investissement, Ombline Ancelin;Ms Sarah Bailey ;Mr Yves Baratte ;Mrs Sandra Esquiva-Hesse ;Mr Thierry Gontard ;Mr Etinenne Kowalski ;Mr Alexandre Regniault ;Ms Laurence Renard ;Mr Jacques-Antoine Robert ; Agnès Rossi;Mr Christian Taylor , 33 1 53 29 16 29,Alexandre Regniault;Jacques-Antoine Robert;Sarah Bailey;Marina Cousté;Thierry Gontard;Yves Baratte;Marina Cousté;Francois Jonquères;Sarah Bailey;Sarah Bailey;Marina Cousté;Agnès Rossi;Colin Millar;Sarah Bailey;Jacques-Antoine Robert;Christian Taylor;Yves Baratte;Laurence Renard;Ombline Ancelin;Chloë Nessim;Philippe Cavalieros;Yves Baratte,https://www.simmons-simmons.com
Signature Litigation AARPI    49/51 avenue George V        75008                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/3912.jpg?v=1580315517, Signature Litigation AARPI ,,info@signaturelitigation.com,Allianz Global Corporate & Specialty;Continental Motors Inc.;Global Aerospace;Rolls-Royce Plc;Allianz;AXA;Boeing;Crédit Agricole Corporate & Investment Bank;Emerson;Euralis;Ferroglobe;GE;Honeywell;Meritor;Mersen;Renault;Société Générale;The Goodyear Tire & Rubber Company;Ugitech;GibFibre Limited;Petroleum Company of Trinidad and Tobago;BWIN GVC Holdings (Gibraltar) Limited;Fidux Trust Company, Nicolas Brooke ; Sylvie Gallage-Alwis ; Emmanuèle Lutfalla ; Flore Poloni ;Mr Thomas Rouhette, +33 (0)1 70 75 58 00,Thomas Rouhette;Nicolas Brooke ;Thomas Rouhette;Sylvie Gallage-Alwis;Emmanuèle Lutfalla;Elliot Philips,https://www.signaturelitigation.com/signature-litigation-paris/
TNDA: Tuffal-Nerson Douarre &amp; Associés    38 AVENUE HOCHE        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/16027.jpg?v=1580315474, TNDA: Tuffal-Nerson Douarre & Associés ,,accueil@tnda.eu,, Rémy Douarre ; Nicolas Durand-Gasselin ; Philippe Meylan ; Martine Rivereau-Trzmiel ; Véronique Tuffal-Nerson; Guillaume Verdier ; Armelle Walters-Renaud , 33 1 58 36 56 56,Véronique Tuffal-Nerson,https://www.tnda.eu
Steering Legal    20 RUE FORTUNY        75017 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/18569.jpg?v=1580315491, Steering Legal ,,contact@steeringlegal.com,,Prof Mathias Audit ;Mme Stéphanie Berland ;Mr Jean-François Bette ;Mr Sébastien Fleury ;Mr Florian Guais ;Mr Olivier Guinard ;Me Nicolas Hallais ;Me Frédéric Raimbault ;Me Nuno de Ayala Boaventura ;Me Guillaume de Rocquigny , 33 1 45 05 15 65,,https://www.steeringlegal.com
SCP French Cornut-Gentille    146 BOULEVARD HAUSSMANN        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/16294.jpg?v=1580315475, SCP French Cornut-Gentille ,,p.cornut-gentille@scpfrench.com,, Amalia BENINI ; Pierre CORNUT-GENTILLE ; Mélodie DRISSI ; Catherine FILZI ; Pauline LAMBOUROUD ; Clément LOISEAU ; Virginie MONTEIL ; Peggy ROBERT , 33 1 40 70 00 11,Pierre Cornut-Gentille,http://www.scpfrench.com
Scotto Partners    112 AVENUE KLÉBER        75116 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/14798.jpg?v=1580315466, Scotto Partners ,,info@scottopartners.com,Buffalo Grill;Comexposium;Etanco;Indigo;Loch Lomond;MC2i;Proxiserve;Sulo;Technicis;Wallenborn;Buffalo Grill;Delsey;Wallenborn;Etanco;Opteven;Edilians;T&S Group;Saur;Sulo;Scalian;MC2i;Proxiserve;Comexposium;GSE;Efront;Indigo;Technicis;Ales;Loch Lomond;Sateco;Staci;Verescence;Fichet (Gunnebo),Mr Adrien Badelon ;Mrs Isabelle Cheradame ; Jérôme Commerçon; Claire Revol-Renié;Mr Lionel Scotto le Massese , 33 1 83 92 38 38,Lionel Scotto le Massese;Nicolas Menard-Durand;Claire Revol-Renié;Isabelle Cheradame;Jérôme Commerçon;Xavier Colard,https://www.scottopartners.com
Shearman &amp; Sterling LLP    7 RUE JACQUES BINGEN        75017  PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/50895.jpg?v=1601656190, Shearman & Sterling LLP ,,egaillard@shearman.com,The People’s Republic of China;The People’s Democratic Republic of Algeria;The Arab Republic of Egypt;EssilorLuxoticca;The Ministry of Justice of Ukraine;The Republic of Lithuania;Sonatrach;Sanofi;L’Oréal;Orange;Bolloré;Nexans;APE;Oddo;Celeste Management SA;Saint Gogain;Wendel;Thales;ALD;Ardagh;CCI Lyon Métropole;Florac;Nokia;Robert Louis Dreyfus Family;Siparex;Société Générale;Sonatrach;HIG & Groupe Ecore;Frostkrone Group / Emeram Capital Partners;Sociéte Générale;HF Private Debt and Deutsche Bank;Siparex;Morgan Stanley;Trail capital;Guinea Alumina Corporation;JP Morgan;HSBC;L’Oréal;Orange;Bolloré;Nexans;APE;Oddo;Celeste Management SA;Saint Gogain;Wendel;Thales;Altice;Coca Cola;Sagemcom;Trail Capital;Florac;Siparex;CCI Lyon;First Eagle;Schneider Electric;Société Générale;BANQUE THEMIS;ALLGAIER-GROUP;SIR;The People’s Democratic Republic of Algeria;Sonatrac,Dr Yas Banifatemi ; Coralie Darrigade ;Prof Emmanuel Gaillard ; Maude Lebois ; Mohamed Shelbaya ; Jennifer Younan , 33 1 53 89 70 00,Emmanuel Gaillard;Yas Banifatemi;Hervé Letréguilly;Guillaume Isautier;Pierre-Nicolas Ferrand;Hervé Letréguilly;Niels Dejean;Pierre-Nicolas Ferrand;Emmanuel Gaillard;Yas Banifatemi,http://www.shearman.com
Seattle Avocats    1 RUE AMBROISE THOMAS        75009 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/232521.jpg?v=, Seattle Avocats ,,contact@seattle-avocats.fr,MEDIAPART;DISCLOSE NGO;Samia Ghali;SOS Homophobie;SOS Méditerranée;Courrier des Balkans;Gregory BARANES;GONK STUDIO;Favola Films;Autochenille production;Ghwa productions;Samuel TOURNEUX;French agency for Biodiversity;Calanques National Park;Port-Cros National Park;Saint-Martin National Nature Reserve;INDUSTRIAL & ENVIRONMENTAL PLATEFORM SAS;BLOOM (NGO);WWF-France (NGO);Guyane Nature Environnement (NGO);Europe Ecologie Les Verts (EELV);SHERPA (NGO);Mighty Earth (NGO);Notre Affaire à Tous;VENDOME CAPITAL PARTNERS / VENDOME REIM;UCB Pharma;Fondation CEMAVIE (Crédit Mutuel);Parti Socialiste (Fédération de Seine Saint Denis);CARVEN;Rivington;SEMEC (Palais des Festivals et des Congrès de Cannes);62 investors in ARISTOPHIL;Investors in APOLONIA;Commune de Pontault-Combault;Commune de Plaissan;Football club Athis Mons;Ecole Miroirs Citoyens,Maitre Sébastien MABILE ;Maitre François RONGET ;Maitre Emmanuel TORDJMAN ;Maitre Maud TOUITOU ;Mr François de Cambiaire, 33 (0)1 44 29 77 77,Emmanuel Tordjman;François de Cambiaire;François Ronget;François Ronget;Sébastien Mabile;François de Cambiaire;François Ronget;Emmanuel Tordjman;Emmanuel Tordjman;François de Cambiaire;Maud Touitou,https://seattle-avocats.fr/
Schapira Associés    10 RUE SAINT MARC        75002 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/17027.jpg?v=, Schapira Associés ,,contact@schapira-associes.eu,,Ms Marion Gregoire;Mr Sébastien Schapira, 33 1 40 28 13 29,Sébastien Schapira;Marion Grégoire,http://www.schapira-associes.eu/
Santarelli    49 AVENUE DES CHAMPS-ELYSÉES        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/11338.jpg?v=1580315452, Santarelli ,,contact@santarelli.com,,Mr Thierry Caen ;Mrs Lecornu Hélène ;Mr Laurent Kurtz ;Mr Eric Le Bihan ;Mr Augustin Le Tourneau ;Mr François Lepelletier-Beaufond ;Mrs Sophie Marc ;Mrs Nathalie Rey ;Mr Luc Santarelli ;Mme Hélène Stankoff ;Mr Ghislain de Tremiolles , 33 1 40 55 43 43,,http://santarelli.com/en/
Renault Thominette Vignaud &amp; Reeve    31 AVENUE HOCHE        75 008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/14772.jpg?v=1580315465, Renault Thominette Vignaud & Reeve ,,contact@rtvlaw.com,Bpifrance Investissement;Lafarge Holcim;Autorité des marchés financiers;Sodistour;Venise Groupe;Australie;Nutimpex;Syndicat des Energies Renouvelables;Electricité des Eaux de Madagascar;Liouba Stoupakova Wildenstein;Edicourtage;Française de l’Energie;Alstom;EMC2,, 33 01 58 05 43 00,Renaud Thominette;Jason Reeve,http://www.rtvlaw.com
Ravetto Associés    19 rue de Milan        75 009 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/15216.jpg?v=1580315470, Ravetto Associés ,,paul.ravetto@ravetto-avocats.com,Saar LB;Primeo;CIC;Gazprom;Voltalia;Toulouse Métropole;GRTgaz;Saint-Germain-en-Laye;Caisse des dépôts et consignations;ENGIE,, 33 1 80 48 12 60,Paul Ravetto;Patrick Labayle-Pabet;Anne-Laure Proisy;Claire Bretheau;Rémy Coin,https://www.ravetto-associes.fr
Soulez Larivière Avocats    22 AVENUE DE LA GRANDE-ARMÉE        75017 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/11259.jpg?v=1593433338, Soulez Larivière Avocats ,,contact@soulezlariviere.com,,Mme Aurélia Grignon ;Mme Capucine Lanta de Bérard ; Daniel Soulez-Larivière, 33 1 47 63 37 22,,https://www.soulezlariviere.com
Preel Hecquet Payet-Godel PHPG Avocats    3 AVENUE BUGEAUD        75116 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/14363.jpg?v=1580315462, Preel Hecquet Payet-Godel PHPG Avocats ,,phpg@phpg-avocats.com,,Mr Romain Bruillard ;Mrs Françoise Hecquet ;Mr Jean-Baptiste Payet-Godel ;Mrs Charlotte ROGER ;Mrs Cécile TIBERGHIEN , 01 58 05 25 35,Jean-Marie Preel;Françoise Hecquet;Charlotte Roger;Françoise Hecquet;Jean-Baptiste Payet-Godel;Charlotte Roger,https://www.phpg-avocats.com
Poulain &amp; Associés    65 RUE DE MONCEAU        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/12151.jpg?v=, Poulain & Associés ,,cabinet.poulain@cabinet-poulain.com,Majencia;Groupe Apavou,Mr Jean-Paul Poulain ; Antoine Poulain ; Amandine Rominskyj , 33 1 53 23 43 00,,http://www.cabinet-poulain.com
Proskauer Rose LLP    374 RUE SAINT-HONORÉ        75001 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/50804.jpg?v=1580315526, Proskauer Rose LLP ,,info@proskauer.com,,Mr Johan Bernoville ;Mr Mathieu Brule ;Ms Estelle Coulombel ;Ms Ariane Duchesne ;Ms Karin Dulac ;Mr Victor Jean-Baptiste ;Mrs Stephanie Martinier ;Ms Mathilde Pépin ;Mr Geoffrey Roche ;Mr Paul Romatet ;Ms Doriane Shannon ;Mr Corentin Soucachet ;Mrs Delia Spitzer ;Ms Ana Vermal , 33 1 53 05 60 00,Yasmine Tarasewicz;Ana Vermal,http://www.proskauer.com
"Pamina Avocats    6, Place Saint-Sulpice        Paris	75006                France",https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/232135.jpg?v=1580315497, Pamina Avocats ,,david.epaud@pamina-avocats.com,Sotheby’s;Wildenstein Plattner Institute;Imprimerie Nationale;DP World;France Galop;Credit Agricole Leasing & Factoring;Sotheby’s;Keolis;Air France;Conseil Supérieur des Messageries de Presse (CSMP);Secure Identity Alliance;Syndicat des Compagnies aériennes autonomes (SCARA);AMECS;Daklapack Europe;Ilex Ascenseurs,Mr David Epaud; Rémi Sermier, +33 1 45 44 51 47,Rémi Sermier ;Rémi Sermier;David Epaud ,https://pamina-avocats.com
Osborne Clarke    163 BOULEVARD MALESHERBES        75017 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/office_logo/21943.jpg?v=1591705316, Osborne Clarke ,,beatrice.delmas-linel@osborneclarke.com,CASINO (Ocommerce);PAGESJAUNES (SOLOCAL);WIZWAY SOLUTIONS;DOCUSIGN;DPD Group;Onepoint;INTEGRAL AD SCIENCE;AMADEUS;BOUYGUES Construction;Group Lucien Barriere;INNOCENT FRANCE (Coca-Cola Group);EXPEDIA /HOTEL.COM;LIGUE NATIONALE DE RUGBY;TABOOLA;POKEMON;Solocal / Pages Jaunes;DBApparel (HanesBrands);INTEGRAL AD SCIENCE (IAS);SONOS;DEEPREACH;Docusign;Dyson;Groupe Lucien Barrière;Integral Ad Science;Laboratoires Expanscience;Ligue Nationale de Rugby;Médiamétrie;Onepoint;Stadline;Vetoquinol;Etablissements Coquet;Esprit Europe Services GmbH;Shopdeco;Popsockets;Innocent France (Coca-Cola Group);SPRD.NET;Parisartistes;Harper Collins;WIRECARD CARD SOLUTIONS LIMITED;PALAIS DES THES;Européenne d’Hotellerie (The Originals Human Hotels & Resorts);ESPRIT EUROPE SERVICES GmbH;FILATURES DU LION;BRENTRONICS;POPSOCKETS;Schuhmarketing GmbH;BOLT MOBILITY Corp. & B MOBILITY FRANCE;JOM Car Parts & Car Hifi GmbH;DYSON;Cap Gemini;NOVO NORDISK;Orange;onepoint;HARPER COLLINS;HACHETTE GROUP;SYMPHONY EYC;Yume;Groupe Bertrand/ Flo;GRIFOLS;Bird Rides;Diageo;Premier Research;France Galop;DECKERS;NORWEGIAN AIR RESOURCES;ONEPOINT;DURANCE;CRAM;RETAIL & CONNEXIONS;ONEPOINT;UNICANCER;HISTOVERY;CONDUENT;onepoint;WIRELESS LOGIC;CAPGEMINI;PURCH GROUP;SHOPINVEST;Abbott International;AbbVie;Monsanto/Bayer;Microwave Vision;AS Watson;Boston Scientific;World Flight Services;Safran;Grifols;Abasic (Desigual);Onepoint, Claire Bouchenard;Mr Stéphane Catays ;Ms Stéphanie Delage ; Béatrice Delmas-Linel;Mr Thomas Devred ; Alexandre Glatz;Mr David Haccoun ;Ms Sophie Jouniaux ;Mr Alexandre  Le Mière ;Ms Catherine Olive ; Xavier Pican;Mr Maxime Pigeon ;Mr Jérôme Scapoli , 33 1 84 82 41 10,Béatrice Delmas-Linel;Claire Bouchenard;Xavier Pican;Claire Bouchenard;Xavier Pican;Béatrice Delmas-Linel;Béatrice Delmas-Linel;Claire Bouchenard;Xavier Pican;Claire Bouchenard;Xavier Pican;Béatrice Delmas-Linel;Claire Bouchenard;Xavier Pican;Béatrice Delmas-Linel;Maxime Pigeon;Jérôme Scapoli;Alexandre Glatz;Alexandre Le Mière;Catherine Olive;David Haccoun;Sophie Jouniaux,http://www.osborneclarke.com
Rigaud Avocats    5 AVENUE DE L'OPERA                    75001    France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/232137.jpg?v=, Rigaud Avocats ,,info@rigaudavocats.com,,Miss Pascale BARON ; Xavier Pignaud;Mr David RIGAUD , 01 53 75 91 91,"David Rigaud, Pascale Baron ;Xavier Pignaud ",https://www.rigaudavocats.com
Ormen Passemard – ORPA Legal    47 RUE DUMONT D'URVILLE        75116 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/16694.jpg?v=, Ormen Passemard – ORPA Legal ,,ormen.passemard@orpa.legal,,Mr Rémi Passemard, 33 1 70 37 39 00,Pascal Ormen;Rémi Passemard,https://www.orpa.legal
Opleo Avocats    154 BOULEVARD HAUSMANN        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/17748.jpg?v=1580315487, Opleo Avocats ,,contact@opleo-avocats.com,Edgewhere,, 33 1 58 22 16 80,Sandrine Gardel;Pierre-Olivier Bernard;Pierre-Olivier Bernard;Antoine Degorce;Pierre-Olivier Bernard,https://www.opleo-avocats.com
Norton Rose Fulbright    PARISEIGHT    40 RUE DE COURCELLES    75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/2511.jpg?v=1580315499, Norton Rose Fulbright ,,info@nortonrosefulbright.com,"Bank of China;BNP Paribas;Bpifrance Assurance Export;Crédit Agricole;CIC;Crédit Suisse;Euler Hermes Deutschland AG;Export Development Canada;HSBC;Natixis;Société Générale;UK Export Finance;UniCredit Bank;Africa50;Barrick Gold;BNP Paribas;Contour Global;Engie;International Finance Corporation;Moroccan Agency for Sustainable Energy;RTE;TOTAL;World Bank;BNP Paribas;HSBC;IFC;Royal Bank of Canada;Société Générale;TOTAL;Crédit Agricole;Investec;Apicil Group;Altus Group;Allianz;UCPI, Coramine and Saint-Gobain Weber;APICIL Group;AIG;Allianz Africa;Africa50;Barrick Gold;BNP Paribas;Contour Global;Engie;International Finance Corporation;Lekela Power;Moroccan Agency for Sustainable Energy;Tiger resources;TOTAL;World Bank;Attijariwafa bank;BNP Paribas;CDC Group plc;Caisse de Dépot et Gestion;Crédit Agricole;Crédit Suisse;HSBC;Kingdom of Morocco;Oddo & Cie;Santander;Sequa Petroleum NV;Société Générale;Allianz;Altus Group;Apicil Group;PFIZER France;SYNLAB France;Medtronic France;Carlsberg UK Limited;Econocom France;MS Mode France;Mycronic AB;Sumitomo Mitsui Banking;Westbrook;TOTAL MARKETING France;Tokyo Electron Ltd;HSBC;PFIZER France;SYNLAB France;Medtronic France;Emerisque Group (MCS);UBS;AIG;Allianz;Allianz Africa;Altus Group;AnaCap Financial;Partners;APICIL Group;Avril Group;BNP Paribas;CDC Group;Euro Information;Telecom;Google;Medidata;Merck Santé;Tenova S.p.a.;Vallourec;ABN AMRO;BayernInvest;Crédit Agricole CIB;Certas;HUK-Coburg;KKR;Swiss Life;Vodafone;Kohlberg Kravis Roberts & Co. (KKR);Bureau Veritas;Deliveroo;AIG;Société Générale;CACIB;Pastacorp;Panasonic;Medidata;Genki", Christophe Asselineau ; Jean-Pascal Bus ; Janet Butterworth ; Arnaud Bélisaire; Antoine Colonna d’Istria ; Roberto Cristofolini ; Simon Cudennec ; Mathieu Dahan ; Christian Dargham ; Benedicte Denis; Christine Ezcutari ; Marta Giner Asins ; Philippe Hameau ; Marc Hamilton ; Laure Joncour ; Anne Lapierre ; Godefroy Le Mintier ; Alain Malek ; Nadège Martin; Souâde Messaoudi ; Karine Montagut ; George Paterson ; Marion Roquette-Pfister ; Alexandre Roth ; Arnaud Sanz ; Alex Wass , 33 1 56 59 50 00,George Paterson;Anne Lapierre;Christine Ezcutari;Christine Ezcutari;Christian Dargham;Nadège Martin;Bénédicte Denis;Anne Lapierre;Roberto Cristofolini;Nadège Martin;Marion Roquette-Pfister;Marta Giner Asins;Philippe Hameau;Marion Roquette-Pfister ;Christian Dargham;Christian Dargham;Bénédicte Denis;Jean-Pascal Bus;Antoine Colonna d’Istria;Marta Giner Asins,https://www.nortonrosefulbright.com
